customer_id,recommended_action,channel,expected_conversion_rate,expected_revenue_per_customer,cost_per_touch,expected_roi,reasoning
49088,VIP 专属 9 折 + 私人客服回访,email,0.18,35.72,2.0,16.86,"segment=Champions 冠军 VIP, clv=198.0"
49169,会员日特权 + 积分翻倍,app_push,0.15,27.07,2.0,12.54,"segment=Potential Loyalists 潜力用户, clv=180.0"
49304,会员日特权 + 积分翻倍,app_push,0.15,452.86,2.0,225.43,"segment=Loyal Customers 忠诚用户, clv=3019.0"
49343,会员日特权 + 积分翻倍,app_push,0.15,32.61,2.0,15.3,"segment=Potential Loyalists 潜力用户, clv=217.0"
49498,会员日特权 + 积分翻倍,app_push,0.15,9.35,2.0,3.68,"segment=Potential Loyalists 潜力用户, clv=62.0"
49564,VIP 专属 9 折 + 私人客服回访,email,0.18,16.71,2.0,7.36,"segment=Champions 冠军 VIP, clv=93.0"
49906,会员日特权 + 积分翻倍,app_push,0.15,19.78,2.0,8.89,"segment=Potential Loyalists 潜力用户, clv=132.0"
50111,VIP 专属 9 折 + 私人客服回访,email,0.18,38.56,2.0,18.28,"segment=Champions 冠军 VIP, clv=214.0"
50153,VIP 专属 9 折 + 私人客服回访,email,0.18,43.36,2.0,20.68,"segment=Champions 冠军 VIP, clv=241.0"
50534,VIP 专属 9 折 + 私人客服回访,email,0.18,127.25,2.0,62.63,"segment=Champions 冠军 VIP, clv=707.0"
50540,会员日特权 + 积分翻倍,app_push,0.15,274.18,2.0,136.09,"segment=Loyal Customers 忠诚用户, clv=1828.0"
51301,会员日特权 + 积分翻倍,app_push,0.15,17.2,2.0,7.6,"segment=Potential Loyalists 潜力用户, clv=115.0"
51568,VIP 专属 9 折 + 私人客服回访,email,0.18,17.46,2.0,7.73,"segment=Champions 冠军 VIP, clv=97.0"
51664,VIP 专属 9 折 + 私人客服回访,email,0.18,27.25,2.0,12.62,"segment=Champions 冠军 VIP, clv=151.0"
52004,VIP 专属 9 折 + 私人客服回访,email,0.18,84.66,2.0,41.33,"segment=Champions 冠军 VIP, clv=470.0"
52259,会员日特权 + 积分翻倍,app_push,0.15,8.96,2.0,3.48,"segment=Potential Loyalists 潜力用户, clv=60.0"
52398,会员日特权 + 积分翻倍,app_push,0.15,1.64,2.0,-0.18,"segment=Potential Loyalists 潜力用户, clv=11.0"
52440,会员日特权 + 积分翻倍,app_push,0.15,144.93,2.0,71.46,"segment=Loyal Customers 忠诚用户, clv=966.0"
52812,会员日特权 + 积分翻倍,app_push,0.15,66.25,2.0,32.13,"segment=Loyal Customers 忠诚用户, clv=442.0"
54605,VIP 专属 9 折 + 私人客服回访,email,0.18,33.0,2.0,15.5,"segment=Champions 冠军 VIP, clv=183.0"
54759,VIP 专属 9 折 + 私人客服回访,email,0.18,61.53,2.0,29.76,"segment=Champions 冠军 VIP, clv=342.0"
54800,会员日特权 + 积分翻倍,app_push,0.15,160.44,2.0,79.22,"segment=Loyal Customers 忠诚用户, clv=1070.0"
55031,VIP 专属 9 折 + 私人客服回访,email,0.18,55.59,2.0,26.8,"segment=Champions 冠军 VIP, clv=309.0"
55093,会员日特权 + 积分翻倍,app_push,0.15,28.67,2.0,13.34,"segment=Potential Loyalists 潜力用户, clv=191.0"
55450,会员日特权 + 积分翻倍,app_push,0.15,237.04,2.0,117.52,"segment=Loyal Customers 忠诚用户, clv=1580.0"
55504,会员日特权 + 积分翻倍,app_push,0.15,13.24,2.0,5.62,"segment=Potential Loyalists 潜力用户, clv=88.0"
56189,会员日特权 + 积分翻倍,app_push,0.15,8.6,2.0,3.3,"segment=Potential Loyalists 潜力用户, clv=57.0"
57382,VIP 专属 9 折 + 私人客服回访,email,0.18,16.62,2.0,7.31,"segment=Champions 冠军 VIP, clv=92.0"
59088,会员日特权 + 积分翻倍,app_push,0.15,115.94,2.0,56.97,"segment=Loyal Customers 忠诚用户, clv=773.0"
59190,会员日特权 + 积分翻倍,app_push,0.15,182.05,2.0,90.02,"segment=Loyal Customers 忠诚用户, clv=1214.0"
59821,VIP 专属 9 折 + 私人客服回访,email,0.18,124.46,2.0,61.23,"segment=Champions 冠军 VIP, clv=691.0"
59912,VIP 专属 9 折 + 私人客服回访,email,0.18,52.78,2.0,25.39,"segment=Champions 冠军 VIP, clv=293.0"
60007,会员日特权 + 积分翻倍,app_push,0.15,108.4,2.0,53.2,"segment=Loyal Customers 忠诚用户, clv=723.0"
60132,VIP 专属 9 折 + 私人客服回访,email,0.18,38.92,2.0,18.46,"segment=Champions 冠军 VIP, clv=216.0"
60328,VIP 专属 9 折 + 私人客服回访,email,0.18,38.14,2.0,18.07,"segment=Champions 冠军 VIP, clv=212.0"
60804,会员日特权 + 积分翻倍,app_push,0.15,4.5,2.0,1.25,"segment=Potential Loyalists 潜力用户, clv=30.0"
60870,会员日特权 + 积分翻倍,app_push,0.15,14.56,2.0,6.28,"segment=Potential Loyalists 潜力用户, clv=97.0"
60883,会员日特权 + 积分翻倍,app_push,0.15,120.82,2.0,59.41,"segment=Loyal Customers 忠诚用户, clv=805.0"
61186,会员日特权 + 积分翻倍,app_push,0.15,5.33,2.0,1.66,"segment=Potential Loyalists 潜力用户, clv=36.0"
61713,VIP 专属 9 折 + 私人客服回访,email,0.18,64.87,2.0,31.44,"segment=Champions 冠军 VIP, clv=360.0"
64254,VIP 专属 9 折 + 私人客服回访,email,0.18,35.47,2.0,16.73,"segment=Champions 冠军 VIP, clv=197.0"
64647,会员日特权 + 积分翻倍,app_push,0.15,19.1,2.0,8.55,"segment=Potential Loyalists 潜力用户, clv=127.0"
66678,会员日特权 + 积分翻倍,app_push,0.15,17.1,2.0,7.55,"segment=Potential Loyalists 潜力用户, clv=114.0"
66724,会员日特权 + 积分翻倍,app_push,0.15,587.55,2.0,292.78,"segment=Loyal Customers 忠诚用户, clv=3917.0"
66849,会员日特权 + 积分翻倍,app_push,0.15,69.17,2.0,33.58,"segment=Loyal Customers 忠诚用户, clv=461.0"
67124,会员日特权 + 积分翻倍,app_push,0.15,321.11,2.0,159.55,"segment=Loyal Customers 忠诚用户, clv=2141.0"
67307,会员日特权 + 积分翻倍,app_push,0.15,200.6,2.0,99.3,"segment=Loyal Customers 忠诚用户, clv=1337.0"
67947,VIP 专属 9 折 + 私人客服回访,email,0.18,65.25,2.0,31.62,"segment=Champions 冠军 VIP, clv=362.0"
68897,VIP 专属 9 折 + 私人客服回访,email,0.18,20.19,2.0,9.1,"segment=Champions 冠军 VIP, clv=112.0"
68910,会员日特权 + 积分翻倍,app_push,0.15,21.32,2.0,9.66,"segment=Potential Loyalists 潜力用户, clv=142.0"
69571,会员日特权 + 积分翻倍,app_push,0.15,18.01,2.0,8.0,"segment=Potential Loyalists 潜力用户, clv=120.0"
69787,会员日特权 + 积分翻倍,app_push,0.15,20.35,2.0,9.18,"segment=Potential Loyalists 潜力用户, clv=136.0"
69835,VIP 专属 9 折 + 私人客服回访,email,0.18,64.22,2.0,31.11,"segment=Champions 冠军 VIP, clv=357.0"
70155,VIP 专属 9 折 + 私人客服回访,email,0.18,22.84,2.0,10.42,"segment=Champions 冠军 VIP, clv=127.0"
70282,会员日特权 + 积分翻倍,app_push,0.15,9.56,2.0,3.78,"segment=Potential Loyalists 潜力用户, clv=64.0"
71012,会员日特权 + 积分翻倍,app_push,0.15,13.3,2.0,5.65,"segment=Potential Loyalists 潜力用户, clv=89.0"
71423,会员日特权 + 积分翻倍,app_push,0.15,5.18,2.0,1.59,"segment=Potential Loyalists 潜力用户, clv=35.0"
71473,会员日特权 + 积分翻倍,app_push,0.15,25.51,2.0,11.75,"segment=Potential Loyalists 潜力用户, clv=170.0"
71532,会员日特权 + 积分翻倍,app_push,0.15,7.9,2.0,2.95,"segment=Potential Loyalists 潜力用户, clv=53.0"
71782,会员日特权 + 积分翻倍,app_push,0.15,302.86,2.0,150.43,"segment=Loyal Customers 忠诚用户, clv=2019.0"
72668,VIP 专属 9 折 + 私人客服回访,email,0.18,50.79,2.0,24.39,"segment=Champions 冠军 VIP, clv=282.0"
72708,VIP 专属 9 折 + 私人客服回访,email,0.18,22.72,2.0,10.36,"segment=Champions 冠军 VIP, clv=126.0"
72762,VIP 专属 9 折 + 私人客服回访,email,0.18,67.87,2.0,32.94,"segment=Champions 冠军 VIP, clv=377.0"
73023,VIP 专属 9 折 + 私人客服回访,email,0.18,120.04,2.0,59.02,"segment=Champions 冠军 VIP, clv=667.0"
73046,会员日特权 + 积分翻倍,app_push,0.15,22.45,2.0,10.23,"segment=Potential Loyalists 潜力用户, clv=150.0"
73464,VIP 专属 9 折 + 私人客服回访,email,0.18,65.46,2.0,31.73,"segment=Champions 冠军 VIP, clv=364.0"
74534,会员日特权 + 积分翻倍,app_push,0.15,12.16,2.0,5.08,"segment=Potential Loyalists 潜力用户, clv=81.0"
74572,会员日特权 + 积分翻倍,app_push,0.15,181.95,2.0,89.98,"segment=Loyal Customers 忠诚用户, clv=1213.0"
75011,VIP 专属 9 折 + 私人客服回访,email,0.18,16.52,2.0,7.26,"segment=Champions 冠军 VIP, clv=92.0"
76216,VIP 专属 9 折 + 私人客服回访,email,0.18,110.74,2.0,54.37,"segment=Champions 冠军 VIP, clv=615.0"
76903,会员日特权 + 积分翻倍,app_push,0.15,6.22,2.0,2.11,"segment=Potential Loyalists 潜力用户, clv=41.0"
77027,会员日特权 + 积分翻倍,app_push,0.15,47.22,2.0,22.61,"segment=Potential Loyalists 潜力用户, clv=315.0"
78227,VIP 专属 9 折 + 私人客服回访,email,0.18,21.42,2.0,9.71,"segment=Champions 冠军 VIP, clv=119.0"
78390,会员日特权 + 积分翻倍,app_push,0.15,16.33,2.0,7.16,"segment=Potential Loyalists 潜力用户, clv=109.0"
78501,会员日特权 + 积分翻倍,app_push,0.15,10.93,2.0,4.46,"segment=Potential Loyalists 潜力用户, clv=73.0"
78849,会员日特权 + 积分翻倍,app_push,0.15,31.15,2.0,14.57,"segment=Potential Loyalists 潜力用户, clv=208.0"
79105,会员日特权 + 积分翻倍,app_push,0.15,6.7,2.0,2.35,"segment=Potential Loyalists 潜力用户, clv=45.0"
79438,会员日特权 + 积分翻倍,app_push,0.15,196.79,2.0,97.4,"segment=Loyal Customers 忠诚用户, clv=1312.0"
79655,会员日特权 + 积分翻倍,app_push,0.15,22.22,2.0,10.11,"segment=Potential Loyalists 潜力用户, clv=148.0"
80053,会员日特权 + 积分翻倍,app_push,0.15,180.15,2.0,89.07,"segment=Loyal Customers 忠诚用户, clv=1201.0"
80232,会员日特权 + 积分翻倍,app_push,0.15,143.95,2.0,70.97,"segment=Loyal Customers 忠诚用户, clv=960.0"
80264,VIP 专属 9 折 + 私人客服回访,email,0.18,42.7,2.0,20.35,"segment=Champions 冠军 VIP, clv=237.0"
80340,会员日特权 + 积分翻倍,app_push,0.15,266.37,2.0,132.18,"segment=Loyal Customers 忠诚用户, clv=1776.0"
80550,VIP 专属 9 折 + 私人客服回访,email,0.18,30.04,2.0,14.02,"segment=Champions 冠军 VIP, clv=167.0"
80745,会员日特权 + 积分翻倍,app_push,0.15,7.32,2.0,2.66,"segment=Potential Loyalists 潜力用户, clv=49.0"
80822,VIP 专属 9 折 + 私人客服回访,email,0.18,76.62,2.0,37.31,"segment=Champions 冠军 VIP, clv=426.0"
81541,会员日特权 + 积分翻倍,app_push,0.15,5.28,2.0,1.64,"segment=Potential Loyalists 潜力用户, clv=35.0"
81610,会员日特权 + 积分翻倍,app_push,0.15,18.28,2.0,8.14,"segment=Potential Loyalists 潜力用户, clv=122.0"
81715,VIP 专属 9 折 + 私人客服回访,email,0.18,64.2,2.0,31.1,"segment=Champions 冠军 VIP, clv=357.0"
82427,VIP 专属 9 折 + 私人客服回访,email,0.18,38.62,2.0,18.31,"segment=Champions 冠军 VIP, clv=215.0"
82440,VIP 专属 9 折 + 私人客服回访,email,0.18,10.64,2.0,4.32,"segment=Champions 冠军 VIP, clv=59.0"
83261,会员日特权 + 积分翻倍,app_push,0.15,646.71,2.0,322.35,"segment=Loyal Customers 忠诚用户, clv=4311.0"
83949,VIP 专属 9 折 + 私人客服回访,email,0.18,45.85,2.0,21.92,"segment=Champions 冠军 VIP, clv=255.0"
84047,会员日特权 + 积分翻倍,app_push,0.15,104.25,2.0,51.13,"segment=Loyal Customers 忠诚用户, clv=695.0"
84485,VIP 专属 9 折 + 私人客服回访,email,0.18,89.36,2.0,43.68,"segment=Champions 冠军 VIP, clv=496.0"
84902,VIP 专属 9 折 + 私人客服回访,email,0.18,16.2,2.0,7.1,"segment=Champions 冠军 VIP, clv=90.0"
84940,VIP 专属 9 折 + 私人客服回访,email,0.18,100.95,2.0,49.48,"segment=Champions 冠军 VIP, clv=561.0"
84945,会员日特权 + 积分翻倍,app_push,0.15,9.04,2.0,3.52,"segment=Potential Loyalists 潜力用户, clv=60.0"
85576,VIP 专属 9 折 + 私人客服回访,email,0.18,30.57,2.0,14.29,"segment=Champions 冠军 VIP, clv=170.0"
85751,会员日特权 + 积分翻倍,app_push,0.15,81.86,2.0,39.93,"segment=Loyal Customers 忠诚用户, clv=546.0"
86805,会员日特权 + 积分翻倍,app_push,0.15,4.85,2.0,1.43,"segment=Potential Loyalists 潜力用户, clv=32.0"
86956,VIP 专属 9 折 + 私人客服回访,email,0.18,23.98,2.0,10.99,"segment=Champions 冠军 VIP, clv=133.0"
87009,VIP 专属 9 折 + 私人客服回访,email,0.18,19.99,2.0,9.0,"segment=Champions 冠军 VIP, clv=111.0"
87245,会员日特权 + 积分翻倍,app_push,0.15,54.69,2.0,26.35,"segment=Potential Loyalists 潜力用户, clv=365.0"
87272,会员日特权 + 积分翻倍,app_push,0.15,1.5,2.0,-0.25,"segment=Potential Loyalists 潜力用户, clv=10.0"
89909,VIP 专属 9 折 + 私人客服回访,email,0.18,118.25,2.0,58.12,"segment=Champions 冠军 VIP, clv=657.0"
90380,VIP 专属 9 折 + 私人客服回访,email,0.18,21.64,2.0,9.82,"segment=Champions 冠军 VIP, clv=120.0"
90826,VIP 专属 9 折 + 私人客服回访,email,0.18,30.34,2.0,14.17,"segment=Champions 冠军 VIP, clv=169.0"
91055,会员日特权 + 积分翻倍,app_push,0.15,14.31,2.0,6.16,"segment=Potential Loyalists 潜力用户, clv=95.0"
91497,会员日特权 + 积分翻倍,app_push,0.15,36.13,2.0,17.07,"segment=Potential Loyalists 潜力用户, clv=241.0"
92587,VIP 专属 9 折 + 私人客服回访,email,0.18,53.39,2.0,25.7,"segment=Champions 冠军 VIP, clv=297.0"
93026,会员日特权 + 积分翻倍,app_push,0.15,44.28,2.0,21.14,"segment=Loyal Customers 忠诚用户, clv=295.0"
93407,会员日特权 + 积分翻倍,app_push,0.15,31.12,2.0,14.56,"segment=Potential Loyalists 潜力用户, clv=207.0"
94423,会员日特权 + 积分翻倍,app_push,0.15,215.47,2.0,106.74,"segment=Loyal Customers 忠诚用户, clv=1436.0"
94626,会员日特权 + 积分翻倍,app_push,0.15,17.65,2.0,7.83,"segment=Potential Loyalists 潜力用户, clv=118.0"
96371,会员日特权 + 积分翻倍,app_push,0.15,17.13,2.0,7.56,"segment=Potential Loyalists 潜力用户, clv=114.0"
96569,VIP 专属 9 折 + 私人客服回访,email,0.18,43.23,2.0,20.62,"segment=Champions 冠军 VIP, clv=240.0"
97074,会员日特权 + 积分翻倍,app_push,0.15,191.67,2.0,94.84,"segment=Loyal Customers 忠诚用户, clv=1278.0"
97361,VIP 专属 9 折 + 私人客服回访,email,0.18,31.92,2.0,14.96,"segment=Champions 冠军 VIP, clv=177.0"
97805,VIP 专属 9 折 + 私人客服回访,email,0.18,37.23,2.0,17.62,"segment=Champions 冠军 VIP, clv=207.0"
98445,会员日特权 + 积分翻倍,app_push,0.15,5.5,2.0,1.75,"segment=Potential Loyalists 潜力用户, clv=37.0"
99338,VIP 专属 9 折 + 私人客服回访,email,0.18,36.51,2.0,17.26,"segment=Champions 冠军 VIP, clv=203.0"
99648,会员日特权 + 积分翻倍,app_push,0.15,282.68,2.0,140.34,"segment=Loyal Customers 忠诚用户, clv=1885.0"
