customer_id,recommended_action,channel,expected_conversion_rate,expected_revenue_per_customer,cost_per_touch,expected_roi,reasoning
42751,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
42997,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
43341,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
43371,专属优惠活动,email,0.6499,4.21,2.0,1.11,核心客户忠诚度高，优惠活动可提升复购率。
44291,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
44872,召回激励计划,sms,0.125,19.73,1.5,12.16,流失风险客户需要针对性激励以降低流失率。
46216,个性化推荐,app_push,0.175,2.28,1.0,1.28,潜力客户活跃度高，个性化推荐可提升购买频次。
46574,个性化推荐,app_push,0.35,3.23,1.0,2.23,潜力客户活跃度高，个性化推荐可提升购买频次。
46767,召回激励计划,sms,0.125,10.78,1.5,6.19,流失风险客户需要针对性激励以降低流失率。
46826,个性化推荐,app_push,0.35,1.51,1.0,0.51,潜力客户活跃度高，个性化推荐可提升购买频次。
46976,召回激励计划,sms,0.125,6.42,1.5,3.28,流失风险客户需要针对性激励以降低流失率。
47615,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
48970,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
49088,个性化推荐,app_push,0.35,13.06,1.0,12.06,潜力客户活跃度高，个性化推荐可提升购买频次。
49169,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
49304,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
49343,召回激励计划,sms,0.125,16.2,1.5,9.8,流失风险客户需要针对性激励以降低流失率。
49498,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
49564,个性化推荐,app_push,0.3035,1.72,1.0,0.72,潜力客户活跃度高，个性化推荐可提升购买频次。
49906,召回激励计划,sms,0.125,7.03,1.5,3.69,流失风险客户需要针对性激励以降低流失率。
50111,个性化推荐,app_push,0.3488,7.79,1.0,6.79,潜力客户活跃度高，个性化推荐可提升购买频次。
50153,个性化推荐,app_push,0.35,3.14,1.0,2.14,潜力客户活跃度高，个性化推荐可提升购买频次。
50534,个性化推荐,app_push,0.175,17.19,1.0,16.19,潜力客户活跃度高，个性化推荐可提升购买频次。
50540,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
51301,召回激励计划,sms,0.125,7.82,1.5,4.21,流失风险客户需要针对性激励以降低流失率。
51568,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
51664,个性化推荐,app_push,0.35,39.27,1.0,38.27,潜力客户活跃度高，个性化推荐可提升购买频次。
52004,个性化推荐,app_push,0.35,0.31,1.0,-0.69,潜力客户活跃度高，个性化推荐可提升购买频次。
52259,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
52398,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
52440,专属优惠活动,email,0.65,0.13,2.0,-0.94,核心客户忠诚度高，优惠活动可提升复购率。
52812,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
54605,个性化推荐,app_push,0.35,1.36,1.0,0.36,潜力客户活跃度高，个性化推荐可提升购买频次。
54759,个性化推荐,app_push,0.175,20.04,1.0,19.04,潜力客户活跃度高，个性化推荐可提升购买频次。
54800,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
55031,个性化推荐,app_push,0.35,0.01,1.0,-0.99,潜力客户活跃度高，个性化推荐可提升购买频次。
55093,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
55450,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
55504,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
56189,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
57382,个性化推荐,app_push,0.35,0.01,1.0,-0.99,潜力客户活跃度高，个性化推荐可提升购买频次。
59088,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
59190,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
59821,个性化推荐,app_push,0.175,7.68,1.0,6.68,潜力客户活跃度高，个性化推荐可提升购买频次。
59912,个性化推荐,app_push,0.175,0.64,1.0,-0.36,潜力客户活跃度高，个性化推荐可提升购买频次。
60007,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
60132,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
60328,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
60804,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
60870,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
60883,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
61186,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
61713,个性化推荐,app_push,0.35,5.6,1.0,4.6,潜力客户活跃度高，个性化推荐可提升购买频次。
64254,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
64647,召回激励计划,sms,0.125,8.07,1.5,4.38,流失风险客户需要针对性激励以降低流失率。
66678,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
66724,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
66849,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
67124,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
67307,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
67947,个性化推荐,app_push,0.175,14.52,1.0,13.52,潜力客户活跃度高，个性化推荐可提升购买频次。
68897,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
68910,召回激励计划,sms,0.125,7.0,1.5,3.67,流失风险客户需要针对性激励以降低流失率。
69571,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
69787,召回激励计划,sms,0.125,9.86,1.5,5.57,流失风险客户需要针对性激励以降低流失率。
69835,个性化推荐,app_push,0.35,1.02,1.0,0.02,潜力客户活跃度高，个性化推荐可提升购买频次。
70155,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
70282,召回激励计划,sms,0.125,5.07,1.5,2.38,流失风险客户需要针对性激励以降低流失率。
71012,召回激励计划,sms,0.25,5.05,1.5,2.37,流失风险客户需要针对性激励以降低流失率。
71423,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
71473,召回激励计划,sms,0.125,12.76,1.5,7.51,流失风险客户需要针对性激励以降低流失率。
71532,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
71782,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
72668,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
72708,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
72762,个性化推荐,app_push,0.175,0.63,1.0,-0.37,潜力客户活跃度高，个性化推荐可提升购买频次。
73023,个性化推荐,app_push,0.35,0.01,1.0,-0.99,潜力客户活跃度高，个性化推荐可提升购买频次。
73046,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
73464,个性化推荐,app_push,0.35,0.39,1.0,-0.61,潜力客户活跃度高，个性化推荐可提升购买频次。
74534,召回激励计划,sms,0.125,2.48,1.5,0.65,流失风险客户需要针对性激励以降低流失率。
74572,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
75011,个性化推荐,app_push,0.35,6.37,1.0,5.37,潜力客户活跃度高，个性化推荐可提升购买频次。
76216,个性化推荐,app_push,0.35,22.3,1.0,21.3,潜力客户活跃度高，个性化推荐可提升购买频次。
76903,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
77027,召回激励计划,sms,0.125,19.34,1.5,11.89,流失风险客户需要针对性激励以降低流失率。
78227,个性化推荐,app_push,0.35,17.87,1.0,16.87,潜力客户活跃度高，个性化推荐可提升购买频次。
78390,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
78501,召回激励计划,sms,0.125,2.05,1.5,0.37,流失风险客户需要针对性激励以降低流失率。
78849,召回激励计划,sms,0.125,14.5,1.5,8.67,流失风险客户需要针对性激励以降低流失率。
79105,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
79438,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
79655,召回激励计划,sms,0.125,4.11,1.5,1.74,流失风险客户需要针对性激励以降低流失率。
80053,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
80232,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
80264,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
80340,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
80550,个性化推荐,app_push,0.35,2.35,1.0,1.35,潜力客户活跃度高，个性化推荐可提升购买频次。
80745,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
80822,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
81541,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
81610,召回激励计划,sms,0.125,3.57,1.5,1.38,流失风险客户需要针对性激励以降低流失率。
81715,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
82427,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
82440,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
83261,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
83949,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
84047,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
84485,个性化推荐,app_push,0.35,1.49,1.0,0.49,潜力客户活跃度高，个性化推荐可提升购买频次。
84902,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
84940,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
84945,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
85576,个性化推荐,app_push,0.35,0.78,1.0,-0.22,潜力客户活跃度高，个性化推荐可提升购买频次。
85751,专属优惠活动,email,0.65,0.15,2.0,-0.93,核心客户忠诚度高，优惠活动可提升复购率。
86805,召回激励计划,sms,0.125,2.9,1.5,0.93,流失风险客户需要针对性激励以降低流失率。
86956,个性化推荐,app_push,0.35,0.23,1.0,-0.77,潜力客户活跃度高，个性化推荐可提升购买频次。
87009,个性化推荐,app_push,0.35,15.51,1.0,14.51,潜力客户活跃度高，个性化推荐可提升购买频次。
87245,召回激励计划,sms,0.125,26.86,1.5,16.9,流失风险客户需要针对性激励以降低流失率。
87272,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
89909,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
90380,个性化推荐,app_push,0.175,2.72,1.0,1.72,潜力客户活跃度高，个性化推荐可提升购买频次。
90826,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
91055,召回激励计划,sms,0.125,7.2,1.5,3.8,流失风险客户需要针对性激励以降低流失率。
91497,召回激励计划,sms,0.125,15.51,1.5,9.34,流失风险客户需要针对性激励以降低流失率。
92587,个性化推荐,app_push,0.175,2.1,1.0,1.1,潜力客户活跃度高，个性化推荐可提升购买频次。
93026,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
93407,召回激励计划,sms,0.125,12.55,1.5,7.37,流失风险客户需要针对性激励以降低流失率。
94423,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
94626,召回激励计划,sms,0.125,6.11,1.5,3.07,流失风险客户需要针对性激励以降低流失率。
96371,召回激励计划,sms,0.125,7.49,1.5,3.99,流失风险客户需要针对性激励以降低流失率。
96569,个性化推荐,app_push,0.35,3.78,1.0,2.78,潜力客户活跃度高，个性化推荐可提升购买频次。
97074,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
97361,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
97805,个性化推荐,app_push,0.3499,11.98,1.0,10.98,潜力客户活跃度高，个性化推荐可提升购买频次。
98445,召回激励计划,sms,0.125,2.68,1.5,0.78,流失风险客户需要针对性激励以降低流失率。
99338,个性化推荐,app_push,0.35,0.02,1.0,-0.98,潜力客户活跃度高，个性化推荐可提升购买频次。
99648,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
